Argentina,Austria,Belgium,Bolivia,Brazil,Canada,Chile,France,Germany,Japan,Mexico,Netherlands
81,644,55,192,123,1248,4,22,726,11,822,23
89,750,62,204,136,1467,4,30,817,16,962,30
91,674,82,206,136,1679,4,28,806,22,1020,33
92,669,51,200,141,1926,3,25,753,24,1067,36
85,712,59,191,141,1919,4,25,866,30,1093,44
85,713,82,201,132,1950,4,39,909,37,1056,43
77,806,88,186,133,1957,3,47,921,42,1036,49
68,865,96,157,120,1920,4,53,929,48,1115,46
62,782,109,150,114,2035,3,59,924,62,1184,43
62,888,93,139,110,2269,3,62,933,88,1283,44
56,829,80,122,101,2450,2,61,914,135,1359,37
57,850,80,117,97,2988,3,71,920,169,1473,37
58,819,68,105,100,2816,3,71,892,222,1362,35
55,817,72,101,95,2327,2,49,815,336,1458,40
56,808,90,114,89,2118,2,75,739,598,1517,42
57,784,98,120,90,2056,2,86,767,1090,1579,40
56,866,122,117,94,2032,2,120,862,1654,1496,44
56,1075,231,119,95,2060,3,195,956,1821,1420,54
54,1281,439,119,103,2248,2,320,1028,1579,1325,66
57,1510,543,134,113,2583,2,498,1144,2341,1349,96
63,1540,414,156,127,2589,2,454,1123,1351,1362,87
64,1310,243,170,125,2698,2,190,1008,999,1383,62
72,1138,162,191,135,2495,3,79,957,516,1317,47
79,972,100,235,142,2202,5,41,840,368,1176,38
92,814,69,244,149,1860,6,24,693,276,1084,29
86,657,53,215,141,1742,6,19,574,197,982,26
96,670,40,225,155,1757,8,17,586,191,921,26
93,662,42,242,161,1583,8,14,579,176,877,25
98,622,37,220,164,1354,8,9,527,121,844,22
108,544,29,208,170,1358,8,6,434,61,816,21
121,551,39,232,176,1172,9,4,435,33,790,20
132,522,33,254,197,1057,11,4,440,19,824,17
143,517,31,227,208,1013,16,5,407,14,813,16
160,495,23,265,205,851,19,4,366,10,791,15
184,470,19,250,183,879,29,3,365,7,792,16
200,526,20,276,187,819,45,3,377,6,796,17
191,467,17,228,192,799,72,4,381,6,773,19
197,491,21,235,196,722,76,3,398,7,730,21
171,409,17,203,187,745,60,3,381,7,680,20
166,418,14,207,179,764,43,4,372,8,750,19
152,487,15,203,176,679,26,4,386,7,771,23
157,443,12,186,176,619,15,3,347,9,773,18
148,430,12,195,160,583,13,2,328,8,779,18
144,426,13,178,157,653,13,2,330,6,756,14
147,427,11,225,160,684,14,2,319,5,750,14
159,433,10,232,166,726,12,2,301,5,749,14
168,455,10,245,158,819,13,3,358,6,858,18
